ticket_id,subject,body,resolution,category,created_at,extra_noise
T001,Login not working,I cannot log into my account. I have tried resetting my password three times but the reset email never arrives. I checked spam folders and waited over an hour.,Reset password via the account settings page. If the reset email does not arrive within 15 minutes check your spam folder or contact support to verify your email address on file.,authentication,2026-01-15,browser: chrome
T002,Billing discrepancy,My invoice shows 99 dollars but I am on the 49 dollar plan. I upgraded last month and was told the new rate would start immediately.,Adjusted invoice to reflect the correct plan amount of 49 dollars. Applied a credit of 50 dollars for the overcharge.,billing,2026-01-15,priority: high
T003,Slow page load,The dashboard takes over 30 seconds to load every time I navigate to it. Other pages seem fine but the main dashboard is extremely slow.,Cleared CDN cache and deployed optimized bundle. Dashboard load time is now under 2 seconds.,performance,2026-01-16,
T004,Export button missing,The CSV export button disappeared after the last update. I rely on this feature for my weekly reports.,Restored export functionality in version 2.3.1 hotfix. The button is now visible under the Reports tab.,feature,2026-01-16,version: 2.3
T005,Search returns wrong results,When I search for customer name the results show unrelated records. This started happening after the system update last week.,Fixed the search indexing issue that was causing incorrect ranking. Rebuilt the search index with correct field weights.,search,2026-01-17,
T006,Email notifications delayed,I receive email notifications about new orders 3 to 4 hours late. This is causing missed SLA deadlines for our team.,Identified a bottleneck in the notification queue. Increased worker count and notifications now arrive within 5 minutes.,notifications,2026-01-17,priority: high
T007,Dark mode colors wrong,Several UI elements are unreadable in dark mode. Button text appears black on dark gray background making it impossible to read.,Updated the dark mode color palette to ensure all text elements have sufficient contrast ratio of at least 4.5 to 1.,design,2026-01-17,
T008,API rate limit too low,Our integration hits the rate limit within 10 minutes of batch processing. We need a higher limit for enterprise use.,Increased the API rate limit for enterprise accounts from 100 to 500 requests per minute.,api,2026-01-18,plan: enterprise
T009,Mobile app crashes on upload,The iOS app crashes when trying to upload images larger than 10MB. Android works fine with the same images.,Fixed memory management issue in the iOS image compression module. Images up to 50MB now upload correctly.,mobile,2026-01-18,platform: ios
T010,Two-factor setup fails,I cannot enable two-factor authentication. The QR code scanner works but the verification code is always rejected.,Resolved a time synchronization issue with the TOTP server. Two-factor authentication setup now works correctly.,security,2026-01-18,
T011,Report formatting broken,PDF reports have overlapping text and missing charts since the last update. The reports are unusable in their current state.,Fixed the PDF rendering engine layout calculations. Reports now display correctly with all charts and proper text positioning.,reporting,2026-01-19,
T012,Webhook delivery failing,Our webhook endpoint returns 200 but the system marks deliveries as failed. We checked our server logs and the requests arrive fine.,Fixed a timeout issue where the system was not waiting long enough for the webhook response. Increased timeout to 30 seconds.,integrations,2026-01-19,
T013,Permission denied on shared folders,Team members cannot access shared project folders even though I have set the correct permissions. This affects five team members.,Corrected a permission inheritance bug that was blocking access on nested shared folders. All team members can now access the folders.,access,2026-01-19,
T014,Calendar sync not working,My Google Calendar integration stopped syncing events two days ago. Disconnecting and reconnecting the integration does not help.,Refreshed the OAuth tokens for the calendar integration. Events are now syncing correctly and will continue to auto-refresh.,integrations,2026-01-20,
T015,Duplicate invoice generated,The system generated two identical invoices for the same order. I need one of them cancelled before the customer is charged twice.,Cancelled the duplicate invoice and added a deduplication check to prevent future duplicate invoice generation.,billing,2026-01-20,
T016,File preview not loading,Document preview shows a blank page for PDF files uploaded after January 10th. Word documents preview fine.,Updated the PDF viewer component to handle the new file format. All PDF files now preview correctly regardless of upload date.,documents,2026-01-20,
T017,Saved filters disappearing,My custom saved filters in the analytics dashboard keep disappearing after I log out and back in.,Fixed a session storage issue that was causing saved filters to be cleared on logout. Filters now persist across sessions.,analytics,2026-01-21,
T018,SSO login redirect loop,When trying to log in via SSO I get stuck in an infinite redirect loop between our identity provider and the app.,Fixed the SAML assertion parsing to handle the updated response format from your identity provider.,authentication,2026-01-21,
T019,Data import timeout,Importing a CSV file with 50000 rows times out after 5 minutes. Smaller files under 10000 rows import without issue.,Implemented chunked processing for large CSV imports. Files up to 500000 rows now import successfully within the timeout window.,data,2026-01-21,
T020,Notification preferences reset,My notification preferences keep resetting to defaults every time there is a system update or maintenance window.,Fixed the migration script that was overwriting user notification preferences during system updates.,notifications,2026-01-22,
T021,Dashboard chart tooltips wrong,The tooltips on the revenue chart show values from the previous quarter instead of the current one.,Corrected the data binding for chart tooltips to reference the correct time period in the dataset.,analytics,2026-01-22,
T022,Password complexity error unclear,The error message just says password is invalid without explaining what requirements are missing.,Updated the password validation to show specific unmet requirements such as minimum length and special character rules.,ux,2026-01-22,
T023,Login not working,I cannot log into my account. I have tried resetting my password three times but the reset email never arrives. I checked spam folders and waited over an hour.,Reset password via the account settings page. If the reset email does not arrive within 15 minutes check your spam folder or contact support to verify your email address on file.,authentication,2026-01-23,browser: firefox
